,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6313,42101835179-0,M,São Bernardo do Campo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6314,42101820171-3,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
6315,42101835561-1,M,Cacequi,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2017
6316,42101835409-5,M,Belém,PA,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6317,42101834794-4,M,Várzea Nova -Santa Rita,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2017
6318,42101834317-0,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6319,42101811144-0,M,Altos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6320,42101809663-8,M,Campinas,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6321,42101834024-6,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
6322,42101826330-3,M,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6323,42101814904-4,M,Visconde do Rio Branco,MG,1-Mestrado/Doutorado,1,Viçosa - MG,2017
6324,42101831785-7,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6325,42101812161-2,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2017
6326,42101811080-5,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
6327,42101833514-8,M,Arapiraca,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
6328,42101834410-7,M,Nova Resende,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
6329,42101835808-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6330,42101834807-8,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
